,Reconstruction_error,True_class,pred_label
0,159.29580688476562,0,1
1,-7.474855899810791,0,0
2,-6.233110109965007,0,0
3,4.5299224853515625,0,0
4,-2.646640944480896,0,0
5,-5.3064697265625,0,0
6,-0.4197714805603027,0,0
7,39.01211280822754,0,0
8,-3.80603232383728,0,0
9,-6.934229183197021,0,0
10,-4.252651500701904,0,0
11,-6.75001277923584,0,0
12,7.775043487548828,0,0
13,-5.854268646240234,0,0
14,0.01613473892211914,0,0
15,1.4191534042358398,0,0
16,-2.1713616371154787,0,0
17,1.2176605701446532,0,0
18,-1.991355037689209,0,0
19,4.746481037139892,0,0
20,-1.7968731284141541,0,0
21,5.380982303619385,0,0
22,-5.803039073944092,0,0
23,-6.214731502532959,0,0
24,30.620809936523436,0,0
25,-1.459591269493103,0,0
26,-6.020937919616699,0,0
27,-5.563874101638794,0,0
28,-3.1311326026916504,0,0
29,10.316077423095702,0,0
30,-2.7253806829452514,0,0
31,-4.782519960403443,0,0
32,-0.4979537010192871,0,0
33,20.423063468933105,0,0
34,-6.535974979400635,0,0
35,-6.337474727630616,0,0
36,-6.673696994781494,0,0
37,-3.187761116027832,0,0
38,-2.9697078227996827,0,0
39,-2.3844080924987794,0,0
40,-1.3911458015441895,0,0
41,-5.384214520454407,0,0
42,-5.7733663558959964,0,0
43,-2.14654803276062,0,0
44,-3.825839066505432,0,0
45,-6.525803661346435,0,0
46,-1.1218960762023926,0,0
47,-1.57716646194458,0,0
48,-2.9891199469566345,0,0
49,-6.332893657684326,0,0
50,-6.874584674835205,0,0
51,-7.730980777740479,0,0
52,-2.6427438259124756,0,0
53,-3.470267963409424,0,0
54,-5.164816570281983,0,0
55,-7.708192920684814,0,0
56,-7.372593212127685,0,0
57,-6.424964523315429,0,0
58,-6.293257474899292,0,0
59,-7.461970615386963,0,0
60,-1.1169707298278808,0,0
61,-2.5751626014709474,0,0
62,38.364411163330075,0,0
63,-2.3455951690673826,0,0
64,-6.074274492263794,0,0
65,1.0890369415283203,0,0
66,-0.4281360626220703,0,0
67,-6.999427413940429,0,0
68,-7.298335838317871,0,0
69,-5.493472862243652,0,0
70,17.322463989257812,0,0
71,-2.3674156188964846,0,0
72,1.153183937072754,0,0
73,-4.677359676361084,0,0
74,-6.688391971588135,0,0
75,-6.0530064582824705,0,0
76,1.914621067047119,0,0
77,-6.421631717681885,0,0
78,-8.181669139862061,0,0
79,-6.745186066627502,0,0
80,-5.498659372329712,0,0
81,-5.969945049285888,0,0
82,2.3059013366699217,0,0
83,-8.18001651763916,0,0
84,2.1121493339538575,0,0
85,-2.3403600692749023,0,0
86,-6.5991065979003904,0,0
87,24.451524353027345,0,0
88,-3.8843111991882324,0,0
89,-6.197533702850341,0,0
90,-5.647656702995301,0,0
91,-7.007976818084717,0,0
92,-5.780667400360107,0,0
93,-7.443293571472168,0,0
94,17.569193267822264,0,0
95,-6.675088024139404,0,0
96,-7.344451808929444,0,0
97,-5.57179594039917,0,0
98,-7.229026126861572,0,0
99,29.15730972290039,0,0
100,-4.965023517608643,0,0
101,-0.5853340148925781,0,0
102,-0.7138830184936523,0,0
103,-6.577628421783447,0,0
104,-7.817954444885254,0,0
105,-6.860361194610595,0,0
106,-5.264110851287842,0,0
107,-6.335884094238281,0,0
108,-6.387053108215332,0,0
109,-5.731034278869629,0,0
110,-6.423576498031617,0,0
111,-8.140964889526368,0,0
112,-7.404297637939453,0,0
113,-4.520273685455322,0,0
114,-6.830842113494873,0,0
115,-7.538092041015625,0,0
116,-7.282178497314453,0,0
117,33.9264217376709,0,0
118,5.286520767211914,0,0
119,1.1248962879180908,1,0
120,27.208333587646486,1,0
121,22.090800094604493,1,0
122,51.32926788330078,1,0
123,2.0016343355178834,0,0
124,-2.707027769088745,0,0
125,-2.507209038734436,0,0
126,-7.297599601745605,0,0
127,-6.320883083343506,0,0
128,-7.118241691589356,0,0
129,-4.717573928833008,0,0
130,17.879776763916016,0,0
131,-7.501181793212891,0,0
132,2.964224338531494,0,0
133,6.235370635986328,0,0
134,-8.098170566558839,0,0
135,-7.3398090362548825,0,0
136,-8.022121238708497,0,0
137,-3.861297607421875,0,0
138,-7.8776171684265135,0,0
139,-7.200073909759522,0,0
140,-7.334401416778564,0,0
141,-1.096302056312561,0,0
142,33.46130790710449,0,0
143,-2.791445589065552,0,0
144,-7.064045715332031,0,0
145,-7.036507797241211,0,0
146,-7.412703514099121,0,0
147,-6.677941989898682,0,0
148,26.803717422485352,0,0
149,18.93151159286499,0,0
150,-3.628631591796875,0,0
151,-7.369656753540039,0,0
152,-6.822642707824707,0,0
153,-5.136635494232178,0,0
154,9.665634155273438,0,0
155,-6.6674755096435545,0,0
156,-6.966964054107666,0,0
157,-1.429635214805603,0,0
158,-2.901256251335144,0,0
159,3.306537652015686,0,0
160,-7.472293758392334,0,0
161,-4.5551375389099125,0,0
162,1.6968752861022949,0,0
163,-7.624430561065674,0,0
164,-2.652403140068054,0,0
165,-1.4036681413650514,0,0
166,-7.175403833389282,0,0
167,-6.141109657287598,0,0
168,-5.422827529907226,0,0
169,-5.441050815582275,0,0
170,8.109296512603759,0,0
171,-3.9850136756896974,0,0
172,3.5322362899780275,0,0
173,-6.3377748966217045,0,0
174,-7.431991100311279,0,0
175,-0.003473854064941406,0,0
176,4.455406951904297,1,0
177,75.76297912597656,1,0
178,16.855470848083495,1,0
179,81.70336151123047,1,0
180,9.961657524108887,0,0
181,-7.227118587493896,0,0
182,-5.80565185546875,0,0
183,-0.17958927154541016,0,0
184,-1.9618614196777344,0,0
