,Reconstruction_error,True_class,pred_label,adap_label,filter_label
0,-3.2731261253356934,0,0,0.0,0.0
1,-3.0173522233963013,0,0,0.0,0.0
2,-3.4295386473337808,0,0,0.0,0.0
3,-3.272529423236847,0,0,0.0,0.0
4,-1.184039068222046,0,0,0.0,0.0
5,-0.912675142288208,0,0,0.0,0.0
6,-0.9718201637268068,0,0,0.0,0.0
7,-1.1842807054519653,0,0,0.0,0.0
8,-0.6352985858917236,0,0,0.0,0.0
9,-0.8037649035453797,0,0,0.0,0.0
10,-0.38566763401031495,0,0,0.0,0.0
11,-1.5323487281799315,0,0,0.0,0.0
12,-0.552549409866333,0,0,0.0,0.0
13,-1.8184303283691403,0,0,0.0,0.0
14,-0.9658894777297974,0,0,0.0,0.0
15,-0.1433078795671463,0,0,0.0,0.0
16,-1.8102147340774537,0,0,0.0,0.0
17,-0.5342185497283936,0,0,0.0,0.0
18,-1.091283178329468,0,0,0.0,0.0
19,1.9750304698944088,0,0,0.0,0.0
20,-0.30418121814727783,0,0,0.0,0.0
21,0.4243246763944626,0,0,0.0,0.0
22,-1.1410303115844729,0,0,0.0,0.0
23,-1.359947466850281,0,0,0.0,0.0
24,-1.0490126967430116,0,0,0.0,0.0
25,-2.64854177236557,0,0,0.0,0.0
26,0.8542560696601867,0,0,0.0,0.0
27,0.39643292427062987,0,0,0.0,0.0
28,-2.2328531622886656,0,0,0.0,0.0
29,-2.3133481442928314,0,0,0.0,0.0
30,-1.2224700927734375,0,0,0.0,0.0
31,1.8147620558738708,0,0,0.0,0.0
32,-2.4774667263031005,0,0,0.0,0.0
33,-2.248420122265816,0,0,0.0,0.0
34,-3.3436946809291834,0,0,0.0,0.0
35,0.3682803750038147,0,0,0.0,0.0
36,-0.13045906126499174,0,0,0.0,0.0
37,-3.3797393798828126,0,0,0.0,0.0
38,-1.9755175590515135,0,0,0.0,0.0
39,-3.9565959155559534,0,0,0.0,0.0
40,-2.5181883811950683,0,0,0.0,0.0
41,-4.015319681167602,0,0,0.0,0.0
42,-4.04894609451294,0,0,0.0,0.0
43,-2.96014256477356,0,0,0.0,0.0
44,-4.360050737857819,0,0,0.0,0.0
45,-3.553637832403183,0,0,0.0,0.0
46,-4.226365762948991,0,0,0.0,0.0
47,-3.8372817993164063,0,0,0.0,0.0
48,-4.337022897601128,0,0,0.0,0.0
49,-4.342731499671936,0,0,0.0,0.0
50,-4.538086557388307,0,0,0.0,0.0
51,-3.8840508937835687,0,0,0.0,0.0
52,-4.492791393399238,0,0,0.0,0.0
53,-3.9470883786678312,0,0,0.0,0.0
54,-4.003568935394287,0,0,0.0,0.0
55,-2.080143356323242,0,0,0.0,0.0
56,-4.345608377456665,0,0,0.0,0.0
57,-3.0001697540283203,0,0,0.0,0.0
58,-4.013645577430725,0,0,0.0,0.0
59,-4.078529942035675,0,0,0.0,0.0
