index,172.20.1.203,172.20.2.221,172.20.1.202,172.20.2.233,172.20.1.213,172.20.2.231,172.20.1.214,172.20.1.204,172.20.1.205,172.20.2.222,172.20.1.217,172.20.1.216,172.20.2.236,172.20.2.232,172.20.1.206,172.20.2.223,172.20.2.237,172.20.1.218,172.20.2.234,172.20.1.222,172.20.2.224,172.20.1.207,172.20.2.238,172.20.1.221,172.20.1.220,172.20.2.235,172.20.1.208,172.20.1.209,172.20.2.229,172.20.2.225,172.20.2.239,172.20.1.219,172.20.2.230,172.20.1.212,label,target
1,4934.0,3354.0,3233.0,2542.0,5648.0,4900.0,5990.0,4334.0,4033.0,4016.0,4747.0,3485.0,3941.0,3610.0,5693.0,5746.0,7226.0,3933.0,4422.0,2927.0,5084.0,4813.0,5159.0,7182.0,4763.0,5841.0,5701.0,5880.0,4828.0,4603.0,4312.0,4143.0,5084.0,4960.0,0,
2,4476.0,3129.0,4768.0,2948.0,4744.0,2692.0,5864.0,5509.0,5294.0,3685.0,4747.0,4154.0,2542.0,4347.0,5550.0,3685.0,4997.0,6219.0,3460.0,5550.0,3941.0,3711.0,4422.0,5133.0,3792.0,2948.0,4188.0,6215.0,4166.0,4272.0,3779.0,3928.0,4422.0,3784.0,0,
3,5339.0,3941.0,3684.0,3835.0,5282.0,4828.0,6345.0,5025.0,4338.0,4903.0,5006.0,5647.0,2948.0,4241.0,4190.0,3941.0,8383.0,4396.0,3354.0,5144.0,2061.0,5851.0,3129.0,5397.0,4704.0,2873.0,3928.0,4926.0,3685.0,4422.0,4706.0,3304.0,5159.0,5775.0,0,
4,6932.0,3354.0,5648.0,2948.0,7034.0,3429.0,5238.0,5304.0,5034.0,4422.0,6750.0,6014.0,4272.0,4569.0,5619.0,4903.0,22121.0,3858.0,4016.0,3822.0,4678.0,5024.0,4292.0,12295.0,12195.0,3354.0,2853.0,4846.0,5135.0,5080.0,5150.0,4965.0,1143.0,5949.0,0,
5,5729.0,4610.0,4053.0,3373.0,8512.0,3782.0,7579.0,3416.0,6327.0,6239.0,7872.0,7796.0,6820.0,5629.0,6861.0,3129.0,30916.0,74894.0,3098.0,5440.0,3279.0,3144.0,9211.0,11600.0,14923.0,10439.0,6145.0,5851.0,4218.0,6424.0,7935.0,4151.0,5896.0,5917.0,0,
6,6110.0,3098.0,7310.0,3928.0,8413.0,3866.0,8075.0,4951.0,2521.0,3429.0,8451.0,7796.0,4880.0,5449.0,6205.0,3941.0,30916.0,80777.0,4016.0,5688.0,4422.0,5513.0,11950.0,16579.0,16666.0,10450.0,6045.0,6459.0,6481.0,6731.0,7552.0,3881.0,3610.0,6399.0,0,
7,7391.0,3098.0,7310.0,4262.0,8298.0,4112.0,8143.0,8679.0,8371.0,4241.0,10173.0,7920.0,7161.0,7264.0,5440.0,4110.0,42185.0,151510.0,4422.0,6759.0,5113.0,3155.0,16208.0,120658.0,16478.0,10800.0,9251.0,6459.0,9002.0,4136.0,6300.0,4656.0,6958.0,6014.0,0,
8,6495.0,4205.0,6697.0,6565.0,7871.0,3915.0,9632.0,4263.0,8261.0,4091.0,10455.0,10995.0,5304.0,7097.0,4086.0,5490.0,39333.0,92155.0,20456.0,5116.0,4746.0,5543.0,11214.0,19992.0,23328.0,15243.0,7207.0,6606.0,5518.0,7797.0,6812.0,6665.0,2830.0,5113.0,0,
9,9650.0,3224.0,8588.0,4168.0,9472.0,5736.0,10106.0,5591.0,3663.0,12962.0,10193.0,8675.0,6382.0,5828.0,4976.0,3535.0,48165.0,128928.0,23784.0,5366.0,4347.0,3733.0,14422.0,21797.0,26728.0,13179.0,7232.0,6606.0,4210.0,5521.0,7839.0,3378.0,3049.0,7591.0,0,
10,8815.0,4007.0,9045.0,4647.0,7303.0,3759.0,10106.0,4703.0,4996.0,6557.0,12137.0,10110.0,3246.0,4968.0,2705.0,4711.0,46848.0,109589.0,41224.0,4439.0,3023.0,4678.0,15683.0,29547.0,27167.0,14475.0,7232.0,5723.0,6216.0,5428.0,6145.0,5063.0,5896.0,6445.0,0,
