index,172.20.2.197,172.20.1.184,172.20.1.185,172.20.2.205,172.20.1.193,172.20.2.204,172.20.1.194,172.20.2.198,172.20.1.186,172.20.1.187,172.20.2.206,172.20.2.207,172.20.1.195,172.20.1.196,172.20.1.188,172.20.2.199,172.20.2.211,172.20.1.197,172.20.1.198,172.20.2.210,172.20.2.208,172.20.1.189,172.20.2.200,172.20.2.209,172.20.1.200,172.20.2.214,172.20.1.201,172.20.1.191,172.20.2.202,172.20.1.190,172.20.2.201,172.20.1.199,172.20.2.213,172.20.1.192,172.20.2.203,label,target
1,3941.0,6219.0,4891.0,5356.0,7361.0,3342.0,6443.0,4272.0,3595.0,3596.0,2873.0,2948.0,4903.0,5035.0,5009.0,3835.0,3760.0,4739.0,3018.0,4091.0,16655.0,5811.0,4497.0,3685.0,8968.0,6298.0,8435.0,108958.0,4166.0,6617.0,3418.0,5153.0,5361.0,4558.0,4091.0,0,
2,4091.0,4522.0,5035.0,4903.0,4408.0,3413.0,3549.0,4828.0,4367.0,107177.0,4166.0,5640.0,3905.0,4631.0,5221.0,3610.0,3023.0,107386.0,3920.0,3279.0,4828.0,3220.0,4497.0,4347.0,3009.0,3023.0,7619.0,2743.0,5234.0,4068.0,3910.0,7087.0,4441.0,4264.0,4016.0,0,
3,4166.0,5516.0,4554.0,3638.0,4062.0,4887.0,4548.0,4434.0,4990.0,3967.0,3941.0,2948.0,106828.0,4768.0,4990.0,3354.0,4016.0,5074.0,5137.0,3685.0,3941.0,4297.0,3685.0,5415.0,4110.0,3023.0,5074.0,4040.0,3279.0,4032.0,4978.0,4005.0,5678.0,5138.0,1805.0,0,
4,3610.0,6091.0,7969.0,4220.0,6892.0,3483.0,4698.0,3941.0,6573.0,5144.0,3279.0,4497.0,9601.0,6923.0,4557.0,3535.0,3910.0,4146.0,4115.0,2948.0,27960.0,4527.0,2467.0,3760.0,12675.0,4497.0,10278.0,4979.0,4337.0,6797.0,2786.0,4005.0,3314.0,5651.0,3610.0,0,
5,4911.0,4573.0,5250.0,6847.0,6645.0,6032.0,8825.0,2873.0,6427.0,6537.0,5552.0,5216.0,7977.0,9129.0,4624.0,2948.0,5790.0,5213.0,67684.0,3610.0,27963.0,5761.0,4230.0,11394.0,10575.0,7961.0,8482.0,5923.0,3646.0,5496.0,3267.0,5479.0,6703.0,5152.0,3610.0,0,
6,4421.0,6438.0,5359.0,9549.0,6224.0,6250.0,5525.0,3354.0,3808.0,5538.0,7086.0,4706.0,6539.0,7068.0,3523.0,4166.0,3129.0,4790.0,111070.0,2948.0,33064.0,4076.0,3685.0,14014.0,16241.0,12515.0,13302.0,5172.0,6329.0,6606.0,3244.0,8455.0,5946.0,4737.0,5416.0,0,
7,5560.0,6707.0,5812.0,6198.0,9393.0,6092.0,8881.0,8548.0,6216.0,5891.0,7643.0,6331.0,7829.0,111847.0,2856.0,3429.0,3279.0,3448.0,149986.0,3279.0,44947.0,5059.0,4091.0,13286.0,19927.0,12178.0,17615.0,5811.0,5527.0,6439.0,3244.0,8448.0,5744.0,4914.0,3784.0,0,
8,5489.0,4580.0,5812.0,6611.0,9706.0,8203.0,6216.0,5821.0,5145.0,4446.0,6977.0,7176.0,10650.0,9560.0,6168.0,4903.0,3279.0,72209.0,129954.0,4828.0,53923.0,4960.0,3941.0,18130.0,19923.0,16018.0,22503.0,9906.0,6038.0,7258.0,6195.0,10149.0,6449.0,5250.0,3629.0,0,
9,4752.0,5320.0,6301.0,6263.0,6882.0,5381.0,8509.0,3279.0,4704.0,10387.0,8120.0,7057.0,8668.0,9465.0,3550.0,4922.0,4347.0,71225.0,119261.0,3429.0,34271.0,4669.0,4353.0,14257.0,18733.0,16900.0,19236.0,6667.0,5876.0,5942.0,6053.0,8488.0,6520.0,5115.0,3210.0,0,
10,5632.0,7607.0,6969.0,9525.0,9546.0,6409.0,8789.0,9134.0,3971.0,6267.0,9439.0,8952.0,9861.0,7994.0,4245.0,5490.0,3835.0,155507.0,95144.0,3023.0,57248.0,5016.0,4554.0,21179.0,22673.0,16158.0,21407.0,8223.0,6487.0,8013.0,6788.0,8019.0,7633.0,4274.0,4540.0,0,
