,Reconstruction_error,True_class,pred_label
0,12.568695068359375,0,0
1,15.351499557495117,0,0
2,1.5187357266743977,0,0
3,6.451226234436035,0,0
4,15.38294322490692,0,0
5,-0.7048291206359864,0,0
6,111.43653926849365,0,1
7,-3.548526906967163,0,0
8,744.0573249816895,0,1
9,-1.7748150825500488,0,0
10,-4.167167234420776,0,0
11,1201.143359375,0,1
12,-5.423121333122253,0,0
13,-2.1142417907714846,0,0
14,5.092346286773681,0,0
15,402.06988525390625,0,1
16,-4.696907711029053,0,0
17,-4.1052999019622805,0,0
18,56.735430526733396,0,0
19,461.8101833343506,0,1
20,-1.8884568452835082,0,0
21,-4.475973796844483,0,0
22,-3.509956479072571,0,0
23,-2.61904354095459,0,0
24,-5.396876621246338,0,0
25,-4.174071335792542,0,0
26,-5.610073280334473,0,0
27,-4.271754932403565,0,0
28,-4.7409416198730465,0,0
29,-6.508745002746582,0,0
30,149.0465530395508,0,1
31,-2.0920777797698973,0,0
32,13.55817470550537,0,0
33,5.904229068756104,0,0
34,0.7960992813110351,0,0
35,-6.669876623153686,0,0
36,22.688049125671387,0,0
37,-2.87914719581604,0,0
38,3.5575139999389647,0,0
39,-6.9912467956542965,0,0
40,14.22504014968872,0,0
41,8.0309739112854,0,0
42,-6.856324481964111,0,0
43,-6.0238768577575685,0,0
44,16.41198205947876,0,0
45,-5.950012969970703,0,0
46,5.0705948829650875,0,0
47,-1.5692947387695313,0,0
48,43.720570755004886,0,0
49,-4.868994009494782,0,0
50,-2.6367423295974732,0,0
51,-6.63407793045044,0,0
52,-3.2238883495330812,0,0
53,-6.237821626663208,0,0
54,-4.600381469726562,0,0
55,8.55119342803955,0,0
56,27.689340591430664,0,0
57,-6.144774150848389,0,0
58,-4.751225090026855,0,0
59,-6.392819213867187,0,0
60,-6.241445922851563,0,0
61,-2.5370320081710815,0,0
62,8.321954727172852,0,0
63,-5.90972421169281,0,0
64,14.019342708587647,0,0
65,3.3239086151123045,0,0
66,-6.8946178436279295,0,0
67,-5.79307792186737,0,0
68,0.7295108318328858,0,0
69,-5.237128162384034,0,0
70,-0.30588722229003906,0,0
71,8.94256796836853,0,0
72,-7.323509407043457,0,0
73,-6.380311393737793,0,0
74,-1.2636348962783814,0,0
75,32.1964614868164,0,0
76,-3.317241096496582,0,0
77,-7.259431457519531,0,0
78,-1.7418439030647277,0,0
79,7.201602458953857,0,0
80,-2.3083545684814455,0,0
81,-0.803173017501831,0,0
82,23.57957534790039,0,0
83,-1.3014394760131835,0,0
84,-7.148770523071289,0,0
85,-6.66179256439209,0,0
86,-2.5532769680023195,0,0
87,-5.95302300453186,0,0
88,-6.584369373321533,0,0
89,-5.752964735031128,0,0
90,-6.854701519012451,0,0
91,0.8465738534927368,0,0
92,-5.238917541503906,0,0
93,-4.5840757369995115,0,0
94,-7.404247570037842,0,0
