,Reconstruction_error,True_class,pred_label
0,60.302825927734375,0,1
1,51.41525650024414,0,1
2,1239.6949462890625,0,1
3,36.39239501953125,0,0
4,30.033764266967772,0,0
5,38.18001022338867,0,0
6,38.225440979003906,0,0
7,35.58863220214844,0,0
8,2135.0424621582033,0,1
9,32.74435310363769,0,0
10,32.382863235473636,0,0
11,30.250900268554688,0,0
12,38.98104705810547,0,0
13,27.041856384277345,0,0
14,19.03667221069336,0,0
15,26.993921279907227,0,0
16,23.859046936035156,0,0
17,26.34228630065918,0,0
18,40.27326202392578,1,1
19,45.43185806274414,1,1
20,67.14702453613282,1,1
21,75.03156890869141,0,1
22,24.64146499633789,0,0
23,17.017466735839843,0,0
24,16.932303047180177,0,0
25,50.88125381469727,0,1
26,28.373049163818358,0,0
27,26.542336654663085,0,0
28,15.893595314025879,0,0
29,13.742563247680664,0,0
30,24.197906494140625,0,0
31,18.71236400604248,0,0
32,13.81161060333252,0,0
33,27.359625244140624,0,0
34,25.02179374694824,0,0
35,25.12857131958008,0,0
36,1820.3697570800782,0,1
37,10.949343872070312,0,0
38,28.75667381286621,0,0
39,22.757822036743164,0,0
40,9.82514009475708,0,0
41,12.900259399414063,0,0
42,21.401930236816405,0,0
43,23.372771072387696,0,0
44,42.69167213439941,1,1
45,41.32551879882813,1,1
46,45.79381790161133,1,1
47,25.16425895690918,0,0
48,25.67325553894043,0,0
49,20.530128479003906,0,0
50,27.58836898803711,0,0
51,26.288697052001954,0,0
52,23.569509506225586,0,0
53,17.35540771484375,0,0
54,23.790166091918945,0,0
55,27.341919326782225,0,0
56,18.285158920288087,0,0
57,26.3491153717041,0,0
58,9.153367710113525,0,0
59,28.465460586547852,0,0
60,23.330889892578124,0,0
61,19.203524780273437,0,0
62,8.673484611511231,0,0
63,15.657807350158691,0,0
64,1465.7364074707032,0,1
65,11.12300090789795,0,0
66,16.22749614715576,0,0
67,17.21112241744995,0,0
68,25.46510429382324,0,0
69,8.189927864074708,0,0
70,43.32170009613037,0,1
71,24.110963821411133,1,0
72,43.99934463500976,1,1
73,119.72822418212891,1,1
74,201.87945861816405,1,1
75,23.771221923828126,0,0
76,23.114982986450194,0,0
77,15.848262786865234,0,0
78,17.874973678588866,0,0
79,16.39246826171875,0,0
80,20.867143440246583,0,0
81,24.27586212158203,0,0
82,17.44329700469971,0,0
83,31.00685920715332,0,0
84,23.631410980224608,0,0
85,14.564386177062989,0,0
86,10.410073471069335,0,0
87,13.731110954284668,0,0
88,8.968029403686524,0,0
89,7.082891941070557,0,0
